route_number,stop_number,start_time,end_time,shift,schedule,line
41,255,5:30 PM,10:00 PM,4,A,
41,255,6:30 AM,6:00 PM,1,B,
41,458,6:30 AM,7:00 AM,1,A,
41,458,7:00 AM,3:00 PM,2,A,
41,458,3:00 PM,5:30 PM,3,A,
41,458,5:54 PM,10:24 PM,4,A,
41,458,6:54 AM,6:24 PM,1,B,
11,458,6:56 AM,7:56 PM,1,A,
11,458,6:42 AM,7:22 PM,1,B,
11,274,6:36 AM,7:36 PM,1,A,
11,274,6:41 AM,7:21 PM,1,B,
41,274,6:30 AM,7:00 AM,1,A,
41,274,7:00 AM,3:00 PM,2,A,
41,274,3:00 PM,5:30 PM,3,A,
41,274,5:32 PM,10:02 PM,4,A,
41,274,6:32 AM,6:02 PM,1,B,
41,273,6:30 AM,7:00 AM,1,A,
41,273,7:00 AM,3:00 PM,2,A,
41,273,3:00 PM,5:30 PM,3,A,
41,273,5:31 PM,10:01 PM,4,A,
41,273,6:31 AM,6:01 PM,1,B,
41,254,6:30 AM,7:00 AM,1,A,
41,254,7:00 AM,3:00 PM,2,A,
41,254,3:00 PM,5:30 PM,3,A,
41,254,5:55 PM,10:25 PM,4,A,
41,254,6:55 AM,6:25 PM,1,B,
42,256,7:31 AM,10:16 PM,1,All,Southbound to Rec Center
42,177,7:21 AM,10:13 PM,1,All,Southbound to Rec Center
42,175,7:20 AM,10:05 PM,1,All,Northbound to JRP / 11th & Mississippi
52,175,9:17 PM,2:27 AM,1,All,
36,360,7:44 AM,5:44 PM,1,All,
42,360,7:19 AM,10:04 PM,1,All,Northbound to JRP / 11th & Mississippi
52,360,9:15 PM,2:35 AM,1,All,
11,359,6:39 AM,7:39 PM,1,A,
11,359,6:44 AM,7:32 PM,1,B,
41,359,6:31 AM,6:01 PM,1,B,
41,359,6:30 AM,7:00 AM,1,A,
41,359,7:00 AM,3:00 PM,2,A,
41,359,3:00 PM,5:30 PM,3,A,
41,359,5:34 PM,10:04 PM,4,A,
41,359,6:34 AM,6:04 PM,1,B,
10,216,6:51 AM,7:51 PM,1,All,
11,216,6:50 AM,7:50 PM,1,A,
11,216,6:54 AM,7:34 PM,1,B,
29,216,7:27 AM,5:47 PM,1,All,
30,216,7:32 AM,5:32 PM,1,All,
36,216,7:25 AM,5:55 PM,1,All,
38,216,7:39 AM,5:39 PM,Alternate,All,
43,216,7:20 AM,12:00 PM,1,All,
43,216,12:00 PM,1:30 PM,2,All,
43,216,1:30 PM,5:30 PM,3,All,
10,286,6:06 AM,7:06 PM,1,All,
11,286,6:41 AM,7:41 PM,1,A,
11,286,6:31 AM,7:11 PM,1,B,
29,286,7:28 AM,5:48 PM,1,All,
30,286,7:33 AM,5:30 PM,1,All,
36,286,7:37 AM,5:37 PM,1,All,
38,286,7:40 AM,5:40 PM,Alternate,All,
43,286,7:20 AM,12:00 PM,1,All,
43,286,12:00 PM,1:30 PM,2,All,
43,286,1:30 PM,5:30 PM,3,All,
